SiteCode,AntennaLabel,Operator,Technology,Latitude,Longitude,CenterHeight,Power,Frequency,FrequencyBand,Electrical_Tilt,Mechanical_Tilt,Azimuth,Gain,Horizontal_Beamwidth,Vertical_Beamwidth
SITE(02FAL),ANT(BRFLO11C181P_01),Proximus,4G/5G,50.850564096,4.353868853,7.93,40.8,1817.5,Band1800MHz,0,0,297,6.15,168,100
SITE(02FAL),ANT(BRFLO11C081P_01),Proximus,4G/5G,50.850564096,4.353868853,7.93,40.8,806.0,Band800MHz,0,0,297,6.15,158,90
SITE(02FAL),ANT(BRFLO11A091P_01)/ANT(BRFLO11B091P_01),Proximus,2G/3G,50.850564096,4.353868853,7.93,40.8,945.0,Band900MHz,0,0,297,6.15,158,90
SITE(02KAM),ANT(BRKAM11C081P_01),Proximus,4G,50.845967499,4.352739377,8.51,42.4,806.0,Band800MHz,0,0,210,6.15,158,90
SITE(02KAM),ANT(BRKAM11A091P_01)/ANT(BRKAM11B091P_01),Proximus,2G/4G,50.845967499,4.352739377,8.51,39.4,945.0,Band900MHz,0,0,210,6.15,158,90
SITE(02KAM),ANT(BRKAM11C081P_02),Proximus,4G,50.845974442,4.352733903,8.51,42.4,806.0,Band800MHz,0,0,290,6.15,158,90
SITE(02KAM),ANT(BRKAM11A091P_02)/ANT(BRKAM11B091P_02),Proximus,2G/4G,50.845974442,4.352733903,8.51,39.4,945.0,Band900MHz,0,0,290,6.15,158,90
SITE(02MHB),ANT(BRHER11C081P_01),Proximus,4G,50.846766135,4.354005511,6.34,39.6,806.0,Band800MHz,0,0,55,6.15,158,90
SITE(02MHB),ANT(BRHER11A091P_01)/ANT(BRHER11B091P_01),Proximus,2G/4G,50.846766135,4.354005511,6.34,36.6,945.0,Band900MHz,0,0,55,6.15,158,90
SITE(02NIM),ANT(BRNIM11S081P),Proximus,4G,50.853627325,4.356939553,5,40.9,806.0,Band800MHz,0,0,300,5.7,192,102
SITE(02NIM),ANT(BRNIM11A091P)/ANT(BRNIM11B091P),Proximus,2G,50.853627325,4.356939553,5,37.9,945.0,Band900MHz,0,0,300,5.7,192,102
SITE(02OMM),ANT(BROMM21D351P),Proximus,5G,50.85283573,4.359117456,29.67,36.8,3750.0,Band3600MHz,-6,0,150,24.8,126,34
SITE(02OMM),ANT(BROMM31S141P),Proximus,4G/5G,50.852836908,4.359112873,29,43.9,1494.5,Band1400MHz,-7,0,250,15.57,103,14
SITE(02OMM),ANT(BROMM31S181P),Proximus,4G,50.852836908,4.359112873,29,44.0,1817.5,Band1800MHz,-3,0,250,16.24,105,12
SITE(02OMM),ANT(BROMM31S211P),Proximus,4G/5G,50.852836908,4.359112873,29,44.0,2122.5,Band2100MHz,-8,0,250,17.61,84,12
SITE(02OMM),ANT(BROMM31S261P),Proximus,4G,50.852836908,4.359112873,29,43.0,2630.0,Band2600MHz,-4,0,250,17.44,86,10
SITE(02OMM),ANT(BROMM31S071P),Proximus,5G,50.852836908,4.359112873,29,42.4,783.0,Band700MHz,-8,0,250,14.49,111,20
SITE(02OMM),ANT(BROMM31S081P),Proximus,4G,50.852836908,4.359112873,29,42.4,806.0,Band800MHz,-2,0,250,14.51,99,20
SITE(02OMM),ANT(BROMM31A091P)/ANT(BROMM31B091P),Proximus,2G,50.852836908,4.359112873,29,40.0,945.0,Band900MHz,-4,0,250,15.0,100,18
SITE(02OMM),ANT(BROMM21S141P),Proximus,4G/5G,50.852840082,4.35912752,29,40.0,1494.5,Band1400MHz,-7,0,150,15.57,103,15
SITE(02OMM),ANT(BROMM21S181P),Proximus,4G,50.852840082,4.35912752,29,41.0,1817.5,Band1800MHz,-3,0,150,16.24,105,13
SITE(02OMM),ANT(BROMM21S211P),Proximus,4G/5G,50.852840082,4.35912752,29,41.0,2122.5,Band2100MHz,-8,0,150,17.61,84,13
SITE(02OMM),ANT(BROMM21S261P),Proximus,4G,50.852840082,4.35912752,29,40.0,2630.0,Band2600MHz,-4,0,150,17.44,87,11
SITE(02OMM),ANT(BROMM21S071P),Proximus,5G,50.852840082,4.35912752,29,41.3,783.0,Band700MHz,-8,0,150,14.49,111,20
SITE(02OMM),ANT(BROMM21S081P),Proximus,4G,50.852840082,4.35912752,29,41.3,806.0,Band800MHz,-2,0,150,14.51,99,19
SITE(02OMM),ANT(BROMM21A091P)/ANT(BROMM21B091P),Proximus,2G,50.852840082,4.35912752,29,38.8,945.0,Band900MHz,-4,0,150,15.0,98,17
SITE(02OMM),ANT(BROMM31D351P),Proximus,5G,50.852842965,4.3591111,29.67,39.8,3750.0,Band3600MHz,-6,0,250,24.8,126,34
SITE(02OMM),ANT(BROMM11S141P),Proximus,4G/5G,50.85295661,4.35922815,29,42.6,1494.5,Band1400MHz,-7,0,30,15.57,103,14
SITE(02OMM),ANT(BROMM11S181P),Proximus,4G,50.85295661,4.35922815,29,44.0,1817.5,Band1800MHz,-3,0,30,16.24,105,12
SITE(02OMM),ANT(BROMM11S211P),Proximus,4G/5G,50.85295661,4.35922815,29,43.7,2122.5,Band2100MHz,-8,0,30,17.61,84,12
SITE(02OMM),ANT(BROMM11S261P),Proximus,4G,50.85295661,4.35922815,29,40.0,2630.0,Band2600MHz,-4,0,30,17.44,86,10
SITE(02OMM),ANT(BROMM11S071P),Proximus,5G,50.85295661,4.35922815,29,42.4,783.0,Band700MHz,-8,0,30,14.49,111,20
SITE(02OMM),ANT(BROMM11S081P),Proximus,4G,50.85295661,4.35922815,29,42.4,806.0,Band800MHz,-2,0,30,14.51,99,20
SITE(02OMM),ANT(BROMM11A091P)/ANT(BROMM11B091P),Proximus,2G,50.85295661,4.35922815,29,40.0,945.0,Band900MHz,-4,0,30,15.0,100,18
SITE(02OMM),ANT(BROMM11D351P),Proximus,5G,50.852960158,4.359218139,29.67,39.8,3750.0,Band3600MHz,-6,0,30,24.8,126,34
SITE(02PLS),ANT(BRPLS31D351P),Proximus,5G,50.848580217,4.365326909,36.54,38.8,3750.0,Band3600MHz,-5,0,180,21.9,126,32
SITE(02PLS),ANT(BRPLS31S141P),Proximus,4G/5G,50.848580523,4.365326692,35.93,43.0,1494.5,Band1400MHz,-8,0,180,15.87,106,11
SITE(02PLS),ANT(BRPLS31S181P),Proximus,4G,50.848580523,4.365326692,35.93,41.0,1817.5,Band1800MHz,-8,0,180,16.31,102,9
SITE(02PLS),ANT(BRPLS31S211P),Proximus,5G,50.848580523,4.365326692,35.93,41.0,2122.5,Band2100MHz,-8,0,180,17.36,92,8
SITE(02PLS),ANT(BRPLS31S261P),Proximus,4G,50.848580523,4.365326692,35.93,40.0,2630.0,Band2600MHz,-8,0,180,16.8,88,6
SITE(02PLS),ANT(BRPLS31S071P),Proximus,5G,50.848580523,4.365326692,35.93,41.2,783.0,Band700MHz,-8,0,180,15.4,103,10
SITE(02PLS),ANT(BRPLS31S081P),Proximus,4G,50.848580523,4.365326692,35.93,41.2,806.0,Band800MHz,-8,0,180,15.64,105,10
SITE(02PLS),ANT(BRPLS31A091P)/ANT(BRPLS31B091P),Proximus,2G,50.848580523,4.365326692,35.93,38.8,945.0,Band900MHz,-8,0,180,16.14,93,8
SITE(02PLS),ANT(BRPLS41D351P),Proximus,5G,50.848590274,4.365327505,36.54,41.8,3750.0,Band3600MHz,-5,0,270,21.9,126,32
SITE(02PLS),ANT(BRPLS41S141P),Proximus,4G/5G,50.848599554,4.365325825,35.93,49.0,1494.5,Band1400MHz,-9,0,270,15.88,105,14
SITE(02PLS),ANT(BRPLS41S181P),Proximus,4G,50.848599554,4.365325825,35.93,47.0,1817.5,Band1800MHz,-9,0,270,16.36,102,12
SITE(02PLS),ANT(BRPLS41S211P),Proximus,5G,50.848599554,4.365325825,35.93,47.0,2122.5,Band2100MHz,-8,0,270,17.36,92,11
SITE(02PLS),ANT(BRPLS41S261P),Proximus,4G,50.848599554,4.365325825,35.93,46.0,2630.0,Band2600MHz,-10,0,270,16.98,89,9
SITE(02PLS),ANT(BRPLS41S071P),Proximus,5G,50.848599554,4.365325825,35.93,43.0,783.0,Band700MHz,-8,0,270,15.4,103,14
SITE(02PLS),ANT(BRPLS41S081P),Proximus,4G,50.848599554,4.365325825,35.93,44.8,806.0,Band800MHz,-7,0,270,15.75,105,13
SITE(02PLS),ANT(BRPLS41A091P)/ANT(BRPLS41B091P),Proximus,2G,50.848599554,4.365325825,35.93,40.6,945.0,Band900MHz,-7,0,270,16.23,93,11
SITE(02PLS),ANT(BRPLS21D351P),Proximus,5G,50.848849527,4.365413296,37.5,41.8,3750.0,Band3600MHz,-5,0,90,21.9,126,32
SITE(02PLS),ANT(BRPLS21S141P),Proximus,4G/5G,50.848853033,4.365413367,36.52,43.0,1494.5,Band1400MHz,-9,0,90,15.88,107,16
SITE(02PLS),ANT(BRPLS21S181P),Proximus,4G,50.848853033,4.365413367,36.52,44.5,1817.5,Band1800MHz,-9,0,90,16.36,102,14
SITE(02PLS),ANT(BRPLS21S211P),Proximus,5G,50.848853033,4.365413367,36.52,44.5,2122.5,Band2100MHz,-8,0,90,17.36,93,13
SITE(02PLS),ANT(BRPLS21S261P),Proximus,4G,50.848853033,4.365413367,36.52,43.5,2630.0,Band2600MHz,-10,0,90,16.98,90,11
SITE(02PLS),ANT(BRPLS21S071P),Proximus,5G,50.848853033,4.365413367,36.52,42.4,783.0,Band700MHz,-8,0,90,15.4,103,14
SITE(02PLS),ANT(BRPLS21S081P),Proximus,4G,50.848853033,4.365413367,36.52,42.4,806.0,Band800MHz,-7,0,90,15.75,105,13
SITE(02PLS),ANT(BRPLS21A091P)/ANT(BRPLS21B091P),Proximus,2G,50.848853033,4.365413367,36.52,43.0,945.0,Band900MHz,-7,0,90,16.23,93,11
SITE(02PLS),ANT(BRPLS11S141P),Proximus,4G/5G,50.848854336,4.365396072,36.52,46.35,1494.5,Band1400MHz,-9,0,0,15.88,105,14
SITE(02PLS),ANT(BRPLS11S181P),Proximus,4G,50.848854336,4.365396072,36.52,46.35,1817.5,Band1800MHz,-9,0,0,16.36,102,12
SITE(02PLS),ANT(BRPLS11S211P),Proximus,5G,50.848854336,4.365396072,36.52,46.35,2122.5,Band2100MHz,-8,0,0,17.36,92,11
SITE(02PLS),ANT(BRPLS11S261P),Proximus,4G,50.848854336,4.365396072,36.52,45.35,2630.0,Band2600MHz,-10,0,0,16.98,89,9
SITE(02PLS),ANT(BRPLS11S071P),Proximus,5G,50.848854336,4.365396072,36.52,42.35,783.0,Band700MHz,-8,0,0,15.4,103,14
SITE(02PLS),ANT(BRPLS11S081P),Proximus,4G,50.848854336,4.365396072,36.52,44.15,806.0,Band800MHz,-7,0,0,15.75,105,13
SITE(02PLS),ANT(BRPLS11A091P)/ANT(BRPLS11B091P),Proximus,2G,50.848854336,4.365396072,36.52,44.75,945.0,Band900MHz,-7,0,0,16.23,93,11
SITE(02PLS),ANT(BRPLS11D351P),Proximus,5G,50.848855921,4.365400791,37.5,41.8,3750.0,Band3600MHz,-5,0,0,21.9,126,32
SITE(02RBC),ANT(BRBCH11S081P),Proximus,4G,50.848110818,4.3540855,7.1,39.5,806.0,Band800MHz,0,0,220,6.15,158,90
SITE(02RBC),ANT(BRBCH11A091P)/ANT(BRBCH11B091P),Proximus,2G/4G,50.848110818,4.3540855,7.1,36.5,945.0,Band900MHz,0,0,220,6.15,158,90
SITE(02ZND),ANT(BRZND21D351P),Proximus,5G,50.848713441,4.357739648,31.89,37.5,3750.0,Band3600MHz,-5,0,150,24.9,126,32
SITE(02ZND),ANT(BRZND11D351P),Proximus,5G,50.848718126,4.357735374,32,41.5,3750.0,Band3600MHz,-5,0,30,24.9,126,32
SITE(02ZND),ANT(BRZND21S141P),Proximus,4G/5G,50.848829509,4.357251384,31.21,40.0,1494.5,Band1400MHz,-4,0,150,15.9,96,12
SITE(02ZND),ANT(BRZND21S181P),Proximus,4G,50.848829509,4.357251384,31.21,41.0,1817.5,Band1800MHz,-4,0,150,16.74,96,11
SITE(02ZND),ANT(BRZND21S211P),Proximus,5G,50.848829509,4.357251384,31.21,41.0,2122.5,Band2100MHz,-4,0,150,17.27,90,10
SITE(02ZND),ANT(BRZND21S261P),Proximus,4G,50.848829509,4.357251384,31.21,40.0,2630.0,Band2600MHz,-4,0,150,17.4,80,8
SITE(02ZND),ANT(BRZND21S071P),Proximus,5G,50.848829509,4.357251384,31.21,40.8,783.0,Band700MHz,-4,0,150,15.72,102,12
SITE(02ZND),ANT(BRZND21S081P),Proximus,4G,50.848829509,4.357251384,31.21,40.8,806.0,Band800MHz,-4,0,150,16.33,100,12
SITE(02ZND),ANT(BRZND21A091P)/ANT(BRZND21B091P),Proximus,2G,50.848829509,4.357251384,31.21,43.0,945.0,Band900MHz,-4,0,150,16.6,96,10
SITE(02ZND),ANT(BRZND31S141P),Proximus,4G/5G,50.848832816,4.357251447,31.21,45.0,1494.5,Band1400MHz,-4,0,270,15.9,99,18
SITE(02ZND),ANT(BRZND31S181P),Proximus,4G,50.848832816,4.357251447,31.21,44.1,1817.5,Band1800MHz,-5,0,270,16.79,95,17
SITE(02ZND),ANT(BRZND31S211P),Proximus,5G,50.848832816,4.357251447,31.21,44.1,2122.5,Band2100MHz,-4,0,270,17.27,91,16
SITE(02ZND),ANT(BRZND31S261P),Proximus,4G,50.848832816,4.357251447,31.21,43.1,2630.0,Band2600MHz,-6,0,270,17.84,78,14
SITE(02ZND),ANT(BRZND31S071P),Proximus,5G,50.848832816,4.357251447,31.21,42.4,783.0,Band700MHz,-5,0,270,15.81,102,18
SITE(02ZND),ANT(BRZND31S081P),Proximus,4G,50.848832816,4.357251447,31.21,42.4,806.0,Band800MHz,-5,0,270,16.38,101,18
SITE(02ZND),ANT(BRZND31A091P)/ANT(BRZND31B091P),Proximus,2G,50.848832816,4.357251447,31.21,40.0,945.0,Band900MHz,-6,0,270,16.81,97,16
SITE(02ZND),ANT(BRZND31D351P),Proximus,5G,50.848862806,4.3572844,31.89,39.8,3750.0,Band3600MHz,-5,0,270,24.9,126,32
SITE(02ZND),ANT(BRZND11S141P),Proximus,4G/5G,50.848888014,4.357359039,31.32,46.0,1494.5,Band1400MHz,-4,0,30,15.9,98,16
SITE(02ZND),ANT(BRZND11S181P),Proximus,4G,50.848888014,4.357359039,31.32,44.0,1817.5,Band1800MHz,-5,0,30,16.79,95,15
SITE(02ZND),ANT(BRZND11S211P),Proximus,5G,50.848888014,4.357359039,31.32,44.0,2122.5,Band2100MHz,-4,0,30,17.27,91,14
SITE(02ZND),ANT(BRZND11S261P),Proximus,4G,50.848888014,4.357359039,31.32,43.0,2630.0,Band2600MHz,-6,0,30,17.84,78,12
SITE(02ZND),ANT(BRZND11S071P),Proximus,5G,50.848888014,4.357359039,31.32,42.4,783.0,Band700MHz,-5,0,30,15.81,102,16
SITE(02ZND),ANT(BRZND11S081P),Proximus,4G,50.848888014,4.357359039,31.32,42.4,806.0,Band800MHz,-5,0,30,16.38,101,16
SITE(02ZND),ANT(BRZND11A091P)/ANT(BRZND11B091P),Proximus,2G,50.848888014,4.357359039,31.32,43.0,945.0,Band900MHz,-6,0,30,16.81,97,14
SITE(40030B1),ANT(BRKTL31D351O),Orange,5G,50.854790588,4.356728521,38.06,39.8,3650.0,Band3600MHz,-5,-1,190,21.9,126,32
SITE(40030B1),ANT(BRKTL31S141O),Orange,4G/5G,50.854790588,4.356728522,37.37,0.0,1442.0,Band1400MHz,-6,-1,190,14.41,98,18
SITE(40030B1),ANT(BRKTL31S181O),Orange,4G/5G,50.854790588,4.356728522,37.37,44.0,1837.5,Band1800MHz,-8,-1,190,15.72,104,15
