Frequency,Relative Permittivity,Loss Factor,Electric Conductivity
1.000000.E+06,1.273893.E+03,2.923750.E+02,1.626521.E-02
1.035142.E+06,1.265577.E+03,3.164084.E+02,1.822080.E-02
1.071519.E+06,1.237026.E+03,3.246905.E+02,1.935481.E-02
1.109175.E+06,1.226076.E+03,3.435050.E+02,2.119593.E-02
1.148154.E+06,1.223731.E+03,3.472700.E+02,2.218129.E-02
1.188502.E+06,1.221117.E+03,3.667003.E+02,2.424547.E-02
1.230269.E+06,1.197396.E+03,3.628761.E+02,2.483578.E-02
1.273503.E+06,1.191022.E+03,3.959717.E+02,2.805327.E-02
1.318257.E+06,1.179308.E+03,3.946608.E+02,2.894299.E-02
1.364583.E+06,1.158154.E+03,4.116289.E+02,3.124822.E-02
1.412538.E+06,1.149184.E+03,4.147628.E+02,3.259261.E-02
1.462177.E+06,1.142610.E+03,4.257294.E+02,3.463004.E-02
1.513561.E+06,1.129160.E+03,4.219744.E+02,3.553085.E-02
1.566751.E+06,1.109153.E+03,4.480872.E+02,3.905547.E-02
1.621810.E+06,1.096393.E+03,4.489984.E+02,4.051018.E-02
1.678804.E+06,1.074437.E+03,4.514937.E+02,4.216684.E-02
1.737801.E+06,1.069471.E+03,4.623274.E+02,4.469604.E-02
1.798871.E+06,1.060115.E+03,4.772595.E+02,4.776106.E-02
1.862087.E+06,1.028564.E+03,4.808760.E+02,4.981413.E-02
1.927525.E+06,1.015943.E+03,4.849669.E+02,5.200337.E-02
1.995262.E+06,1.002783.E+03,4.952582.E+02,5.497321.E-02
2.065380.E+06,9.838920.E+02,5.038046.E+02,5.788706.E-02
2.137962.E+06,9.716472.E+02,5.031099.E+02,5.983872.E-02
2.213095.E+06,9.549183.E+02,5.091828.E+02,6.268925.E-02
2.290868.E+06,9.425947.E+02,5.184658.E+02,6.607536.E-02
2.371374.E+06,9.280487.E+02,5.205427.E+02,6.867137.E-02
2.454709.E+06,9.102237.E+02,5.286066.E+02,7.218583.E-02
2.540973.E+06,8.896764.E+02,5.197452.E+02,7.346998.E-02
2.630268.E+06,8.774132.E+02,5.249581.E+02,7.681465.E-02
2.722701.E+06,8.540685.E+02,5.313534.E+02,8.048276.E-02
2.818383.E+06,8.403271.E+02,5.323628.E+02,8.346935.E-02
2.917427.E+06,8.219234.E+02,5.354390.E+02,8.690192.E-02
3.019952.E+06,8.052236.E+02,5.396875.E+02,9.066961.E-02
3.126079.E+06,7.883980.E+02,5.335515.E+02,9.278883.E-02
3.235937.E+06,7.728854.E+02,5.390077.E+02,9.703186.E-02
3.349654.E+06,7.553478.E+02,5.361214.E+02,9.990391.E-02
3.467369.E+06,7.374179.E+02,5.364681.E+02,1.034816.E-01
3.589219.E+06,7.193936.E+02,5.383249.E+02,1.074890.E-01
3.715352.E+06,7.052944.E+02,5.395477.E+02,1.115191.E-01
3.845918.E+06,6.883446.E+02,5.347456.E+02,1.144107.E-01
3.981072.E+06,6.716706.E+02,5.375093.E+02,1.190434.E-01
4.120975.E+06,6.578760.E+02,5.321487.E+02,1.219979.E-01
4.265795.E+06,6.414018.E+02,5.327034.E+02,1.264168.E-01
4.415704.E+06,6.233718.E+02,5.305965.E+02,1.303418.E-01
4.570882.E+06,6.088516.E+02,5.264773.E+02,1.338749.E-01
4.731513.E+06,5.938014.E+02,5.217736.E+02,1.373414.E-01
4.897788.E+06,5.764958.E+02,5.207777.E+02,1.418965.E-01
5.069907.E+06,5.612593.E+02,5.159480.E+02,1.455209.E-01
5.248075.E+06,5.470990.E+02,5.101149.E+02,1.489318.E-01
5.432503.E+06,5.337273.E+02,5.070529.E+02,1.532402.E-01
5.623413.E+06,5.192877.E+02,5.061721.E+02,1.583498.E-01
5.821032.E+06,5.061238.E+02,4.989126.E+02,1.615637.E-01
6.025596.E+06,4.914768.E+02,4.943852.E+02,1.657238.E-01
6.237348.E+06,4.775086.E+02,4.891211.E+02,1.697211.E-01
6.456542.E+06,4.632432.E+02,4.816615.E+02,1.730061.E-01
6.683439.E+06,4.489951.E+02,4.770879.E+02,1.773854.E-01
6.918310.E+06,4.378891.E+02,4.735356.E+02,1.822519.E-01
7.161434.E+06,4.256700.E+02,4.661579.E+02,1.857173.E-01
7.413102.E+06,4.116377.E+02,4.610030.E+02,1.901180.E-01
7.673615.E+06,3.993087.E+02,4.543114.E+02,1.939425.E-01
7.943282.E+06,3.872743.E+02,4.474585.E+02,1.977298.E-01
8.222426.E+06,3.766857.E+02,4.423615.E+02,2.023470.E-01
8.511380.E+06,3.650688.E+02,4.354136.E+02,2.061680.E-01
8.810489.E+06,3.542257.E+02,4.291751.E+02,2.103555.E-01
9.120108.E+06,3.435773.E+02,4.230550.E+02,2.146428.E-01
9.440609.E+06,3.329881.E+02,4.150202.E+02,2.179660.E-01
9.772372.E+06,3.227923.E+02,4.091939.E+02,2.224583.E-01
1.011579.E+07,3.124599.E+02,4.022556.E+02,2.263714.E-01
1.047129.E+07,3.025370.E+02,3.950637.E+02,2.301370.E-01
1.083927.E+07,2.933966.E+02,3.880400.E+02,2.339893.E-01
1.122018.E+07,2.847519.E+02,3.818577.E+02,2.383532.E-01
1.161449.E+07,2.755324.E+02,3.743058.E+02,2.418499.E-01
1.202264.E+07,2.670626.E+02,3.674836.E+02,2.457861.E-01
1.244515.E+07,2.583012.E+02,3.605896.E+02,2.496506.E-01
1.288250.E+07,2.502913.E+02,3.535232.E+02,2.533595.E-01
1.333521.E+07,2.425066.E+02,3.463533.E+02,2.569442.E-01
1.380384.E+07,2.355135.E+02,3.393913.E+02,2.606274.E-01
1.428894.E+07,2.277511.E+02,3.329198.E+02,2.646421.E-01
1.479108.E+07,2.210937.E+02,3.257754.E+02,2.680635.E-01
1.531087.E+07,2.143694.E+02,3.191608.E+02,2.718497.E-01
1.584893.E+07,2.074362.E+02,3.124480.E+02,2.754844.E-01
1.640590.E+07,2.009925.E+02,3.055301.E+02,2.788518.E-01
1.698244.E+07,1.948807.E+02,2.989131.E+02,2.823998.E-01
1.757924.E+07,1.885400.E+02,2.923210.E+02,2.858771.E-01
1.819701.E+07,1.829125.E+02,2.857622.E+02,2.892839.E-01
1.883649.E+07,1.774036.E+02,2.791198.E+02,2.924893.E-01
1.949845.E+07,1.721303.E+02,2.730226.E+02,2.961543.E-01
2.018366.E+07,1.672401.E+02,2.663834.E+02,2.991070.E-01
2.089296.E+07,1.619880.E+02,2.602951.E+02,3.025418.E-01
2.162719.E+07,1.574226.E+02,2.542191.E+02,3.058635.E-01
2.238721.E+07,1.526707.E+02,2.481570.E+02,3.090622.E-01
2.317395.E+07,1.481758.E+02,2.421559.E+02,3.121867.E-01
2.398833.E+07,1.440933.E+02,2.361175.E+02,3.150994.E-01
2.483133.E+07,1.399277.E+02,2.304390.E+02,3.183284.E-01
2.570396.E+07,1.359627.E+02,2.247694.E+02,3.214079.E-01
2.660725.E+07,1.322304.E+02,2.190710.E+02,3.242681.E-01
2.754229.E+07,1.286209.E+02,2.136926.E+02,3.274228.E-01
2.851018.E+07,1.251394.E+02,2.083462.E+02,3.304494.E-01
2.951209.E+07,1.217069.E+02,2.030410.E+02,3.333521.E-01
3.054921.E+07,1.184692.E+02,1.977901.E+02,3.361430.E-01
3.162278.E+07,1.155147.E+02,1.926682.E+02,3.389451.E-01
3.273407.E+07,1.126055.E+02,1.876693.E+02,3.417532.E-01
3.388442.E+07,1.096414.E+02,1.828205.E+02,3.446231.E-01
3.507519.E+07,1.070093.E+02,1.780149.E+02,3.473567.E-01
3.630781.E+07,1.044242.E+02,1.733895.E+02,3.502210.E-01
3.758374.E+07,1.019151.E+02,1.687725.E+02,3.528752.E-01
3.890451.E+07,9.951019.E+01,1.642688.E+02,3.555285.E-01
4.027170.E+07,9.723574.E+01,1.598878.E+02,3.582076.E-01
4.168694.E+07,9.498157.E+01,1.555948.E+02,3.608398.E-01
4.315191.E+07,9.290358.E+01,1.514709.E+02,3.636207.E-01
4.466836.E+07,9.089413.E+01,1.472537.E+02,3.659195.E-01
4.623810.E+07,8.894431.E+01,1.433460.E+02,3.687271.E-01
4.786301.E+07,8.702505.E+01,1.393947.E+02,3.711638.E-01
4.954502.E+07,8.524718.E+01,1.356220.E+02,3.738088.E-01
5.128614.E+07,8.355511.E+01,1.318842.E+02,3.762809.E-01
5.308844.E+07,8.190897.E+01,1.282403.E+02,3.787423.E-01
5.495409.E+07,8.035765.E+01,1.247660.E+02,3.814307.E-01
