figure,pdf_page,study_area,study_area_label,country,scenario,band,rgb,available,successful_microenvironment_measurements,digitized_mean_mw_m2,median_pixel_rows,pixel_resolution_mw_m2,across_x_spread_mw_m2,resolved_from_raster
A6,22,LC,"Urban area, large city",Austria,NU,Broadcast,189-189-189,true,39,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Austria,NU,DECT,254-196-79,true,39,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Austria,NU,WiFi 5 GHz,158-154-200,true,39,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Austria,NU,ISM/WiFi 2.4 GHz,117-107-177,true,39,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Austria,NU,Mobile UL 700 MHz,8-48-107,true,39,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Austria,NU,Mobile UL 800 MHz,8-81-156,true,39,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Austria,NU,Mobile UL 900 MHz,33-113-181,true,39,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Austria,NU,Mobile UL 1.8 GHz,66-146-198,true,39,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Austria,NU,Mobile UL 2.1 GHz,107-174-214,true,39,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Austria,NU,Mobile UL 2.6 GHz,158-202-225,true,39,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Austria,NU,Mobile TDD 2.6 GHz,247-104-161,true,39,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Austria,NU,Mobile TDD 3.5 GHz,221-52-151,true,39,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Austria,NU,Mobile SDL 700 MHz,0-68-27,true,39,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Austria,NU,Mobile DL 700 MHz,0-109-44,true,39,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Austria,NU,Mobile DL 800 MHz,35-139-69,true,39,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Austria,NU,Mobile DL 900 MHz,65-174-118,true,39,0.320733,7.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Austria,NU,Mobile DL 1.4 GHz,102-194-164,true,39,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Austria,NU,Mobile DL 1.8 GHz,153-216-201,true,39,0.320733,7.0,0.045819,0.000000,true
