country,urban_large_city,urban_secondary_city,rural_area_1,rural_area_2,rural_area_3
Austria,Vienna,Salzburg,Schwanenstadt,Rüstorf,Desselbrunn
Belgium,Brussels,Gent,Deinze,Hansbeke,Beervelde
France,Paris,Massy,Gif-sur-Yvette,Bures-sur-Yvette,Igny
Hungary,Budapest,Győr,Erdőkertes,Pócsmegyer,Hegyeshalom
Italy,Milan,Brescia,San Pietro in Vincoli,Lanciano,Fossacesia
Netherlands,Amsterdam,Utrecht,Cothen,Doorn,Odijk*
Poland,Warsaw,Łódź,Dobra,Gałkówek,Andrespol
Spain,Barcelona,Mataró,La Granada del Penedes,Riudoms,Cabrera de Mar
Switzerland,Zurich,Basel,Dagmersellen,Hergiswil,Willisau
UK,London,Bristol,Portishead,Backwell,Flax Bourton
