study_area,microenvironment,country,scenario,reported_result,successful_measurements,status
LC,Urban centre,Austria,NU,2,2,ok
LC,Urban centre,Austria,DL,F*,,failed_phone_settings
LC,Urban centre,Austria,UL,F,,failed_phone_settings
LC,Urban centre,Belgium,NU,2,2,ok
LC,Urban centre,Belgium,DL,1,1,ok
LC,Urban centre,Belgium,UL,1,1,ok
LC,Urban centre,France,NU,2,2,ok
LC,Urban centre,France,DL,1,1,ok
LC,Urban centre,France,UL,1,1,ok
LC,Urban centre,Hungary,NU,2,2,ok
LC,Urban centre,Hungary,DL,1,1,ok
LC,Urban centre,Hungary,UL,1,1,ok
LC,Urban centre,Italy,NU,2,2,ok
LC,Urban centre,Italy,DL,1,1,ok
LC,Urban centre,Italy,UL,1,1,ok
LC,Urban centre,Netherlands,NU,1,1,ok
LC,Urban centre,Netherlands,DL,0,0,ok
LC,Urban centre,Netherlands,UL,0,0,ok
LC,Urban centre,Poland,NU,2,2,ok
LC,Urban centre,Poland,DL,2,2,ok
LC,Urban centre,Poland,UL,2,2,ok
LC,Urban centre,Spain,NU,2,2,ok
LC,Urban centre,Spain,DL,2,2,ok
LC,Urban centre,Spain,UL,2,2,ok
LC,Urban centre,Switzerland,NU,2,2,ok
LC,Urban centre,Switzerland,DL,1,1,ok
LC,Urban centre,Switzerland,UL,1,1,ok
LC,Urban centre,UK,NU,2,2,ok
LC,Urban centre,UK,DL,1,1,ok
LC,Urban centre,UK,UL,1,1,ok
LC,Industrial area,Austria,NU,1,1,ok
LC,Industrial area,Austria,DL,F*,,failed_phone_settings
LC,Industrial area,Austria,UL,F,,failed_phone_settings
LC,Industrial area,Belgium,NU,1,1,ok
LC,Industrial area,Belgium,DL,1,1,ok
LC,Industrial area,Belgium,UL,1,1,ok
LC,Industrial area,France,NU,0,0,ok
LC,Industrial area,France,DL,0,0,ok
LC,Industrial area,France,UL,0,0,ok
LC,Industrial area,Hungary,NU,1,1,ok
LC,Industrial area,Hungary,DL,1,1,ok
LC,Industrial area,Hungary,UL,1,1,ok
LC,Industrial area,Italy,NU,1,1,ok
LC,Industrial area,Italy,DL,1,1,ok
LC,Industrial area,Italy,UL,1,1,ok
LC,Industrial area,Netherlands,NU,1,1,ok
