specification,value
Measurement range,87.5 – 6000 MHz
Measurement bandwidth,"35, 75 or 100 MHz"
Number of frequency bands measured,35
Selected higher detection limit,20 V/m (1060 mW/m²)
Sensitivity (for a detection limit of 6 V/m [95.5 mW/m²])† RMS field strength,Frequency                   Lower limit 80-250 MHz                0.01 V/m (0.000265 mW/m²) 250-4500 MHz            0.005 V/m (0.0000663 mW/m²) 4500-6000 MHz          0.009 V/m (0.000215 mW/m²)
Detection method,Simultaneous True-RMS and envelope peak field strength
Spectrum analyser mode,Wideband gapless frequency scan over the full frequency range
Sampling rate (s),6.1
Integration time (ms) for each band,50
Antenna,Three axis isotropic antenna
