frequency_1,frequency_2,correlation_threshold,country,identified_clusters,corrected_samples_frequency_1,corrected_samples_frequency_2,mean_frequency_1_before,mean_frequency_1_after,mean_frequency_2_before,mean_frequency_2_after
Broadcasting (622-697 MHz),Mobile UL 700 MHz (700.5 – 735.5 MHz),0.2,Austria,56,6,31,0.005150394,0.005150339,2.882935e-05,2.858668e-05
Broadcasting (622-697 MHz),Mobile UL 700 MHz (700.5 – 735.5 MHz),0.2,Belgium,207,3,0,0.02836866,0.02836763,0.002412294,0.002412294
Broadcasting (622-697 MHz),Mobile UL 700 MHz (700.5 – 735.5 MHz),0.2,France,441,813,1696,0.0002257556,0.0002151987,0.0006125676,0.0006114412
Broadcasting (622-697 MHz),Mobile UL 700 MHz (700.5 – 735.5 MHz),0.2,Italy,165,241,1586,0.001034729,0.0009861406,0.0003773229,0.0003732018
Broadcasting (622-697 MHz),Mobile UL 700 MHz (700.5 – 735.5 MHz),0.2,Hungary,554,4040,180,0.01363065,0.001707723,0.1821009,0.1820978
Broadcasting (622-697 MHz),Mobile UL 700 MHz (700.5 – 735.5 MHz),0.2,The Netherlands,362,133,438,0.002694716,0.002402434,0.004573653,0.004555426
Broadcasting (622-697 MHz),Mobile UL 700 MHz (700.5 – 735.5 MHz),0.2,Poland,33,0,1166,0.001038158,0.001038158,1.572886e-05,9.658115e-06
Broadcasting (622-697 MHz),Mobile UL 700 MHz (700.5 – 735.5 MHz),0.2,Spain,465,1748,1457,0.001650565,0.00154483,0.01372378,0.0133616
Broadcasting (622-697 MHz),Mobile UL 700 MHz (700.5 – 735.5 MHz),0.2,Switzerland,944,5585,345,0.0005052802,9.953023e-05,0.05909123,0.05908353
Broadcasting (622-697 MHz),Mobile UL 700 MHz (700.5 – 735.5 MHz),0.2,UK,605,2002,280,0.007271699,0.004179853,0.01718581,0.01709179
Mobile UL 700 MHz (700.5 – 735.5 MHz),Mobile SDL 700 MHz (730.5 – 765.5 MHz),0.4,Austria,118,4,9,2.858668e-05,2.857522e-05,0.001096662,0.001095874
Mobile UL 700 MHz (700.5 – 735.5 MHz),Mobile SDL 700 MHz (730.5 – 765.5 MHz),0.4,Belgium,135,0,4,0.002412294,0.002412294,0.00459852,0.00361762
Mobile UL 700 MHz (700.5 – 735.5 MHz),Mobile SDL 700 MHz (730.5 – 765.5 MHz),0.4,France,616,322,467,0.0006114412,0.0006053134,0.02407874,0.02400112
Mobile UL 700 MHz (700.5 – 735.5 MHz),Mobile SDL 700 MHz (730.5 – 765.5 MHz),0.4,Italy,198,26,223,0.0003732018,0.0003721171,0.001951983,0.001899452
Mobile UL 700 MHz (700.5 – 735.5 MHz),Mobile SDL 700 MHz (730.5 – 765.5 MHz),0.4,Hungary,681,115,759,0.1820978,0.1820936,0.005241568,0.004552698
Mobile UL 700 MHz (700.5 – 735.5 MHz),Mobile SDL 700 MHz (730.5 – 765.5 MHz),0.4,The Netherlands,498,257,259,0.004555426,0.004542893,0.009532992,0.008558807
Mobile UL 700 MHz (700.5 – 735.5 MHz),Mobile SDL 700 MHz (730.5 – 765.5 MHz),0.4,Poland,2,0,0,9.658115e-06,9.658115e-06,9.60483e-06,9.60483e-06
Mobile UL 700 MHz (700.5 – 735.5 MHz),Mobile SDL 700 MHz (730.5 – 765.5 MHz),0.4,Spain,537,210,443,0.0133616,0.01331736,0.02201611,0.01763438
Mobile UL 700 MHz (700.5 – 735.5 MHz),Mobile SDL 700 MHz (730.5 – 765.5 MHz),0.4,Switzerland,1151,145,2956,0.05908353,0.05907823,0.0117093,0.002114094
Mobile UL 700 MHz (700.5 – 735.5 MHz),Mobile SDL 700 MHz (730.5 – 765.5 MHz),0.4,UK,632,64,1190,0.01709179,0.0170916,0.001067945,0.001057093
Mobile SDL 700 MHz (730.5 – 765.5 MHz),Mobile DL 700 MHz (753 – 788 MHz),0.4,Austria,197,2540,115,0.001095874,0.0002070674,0.004730092,0.004667519
Mobile SDL 700 MHz (730.5 – 765.5 MHz),Mobile DL 700 MHz (753 – 788 MHz),0.4,Belgium,349,4737,3762,0.00361762,0.002993355,0.006458298,0.004757418
Mobile SDL 700 MHz (730.5 – 765.5 MHz),Mobile DL 700 MHz (753 – 788 MHz),0.4,France,426,21690,1,0.02400112,0.0006088725,0.1487838,0.1487838
Mobile SDL 700 MHz (730.5 – 765.5 MHz),Mobile DL 700 MHz (753 – 788 MHz),0.4,Italy,172,6852,13,0.001899452,0.0001510349,0.01505306,0.01503049
Mobile SDL 700 MHz (730.5 – 765.5 MHz),Mobile DL 700 MHz (753 – 788 MHz),0.4,Hungary,312,11216,4,0.004552698,0.0001175786,0.02812695,0.02812685
Mobile SDL 700 MHz (730.5 – 765.5 MHz),Mobile DL 700 MHz (753 – 788 MHz),0.4,The Netherlands,331,6798,5,0.008558807,0.0008501526,0.09411549,0.0941074
Mobile SDL 700 MHz (730.5 – 765.5 MHz),Mobile DL 700 MHz (753 – 788 MHz),0.4,Poland,99,5,0,9.60483e-06,9.599622e-06,0.004445282,0.004445282
Mobile SDL 700 MHz (730.5 – 765.5 MHz),Mobile DL 700 MHz (753 – 788 MHz),0.4,Spain,207,16284,56,0.01763438,0.0001268523,0.03724889,0.03723165
Mobile SDL 700 MHz (730.5 – 765.5 MHz),Mobile DL 700 MHz (753 – 788 MHz),0.4,Switzerland,821,9170,215,0.002114094,0.001724694,0.0110064,0.01094787
Mobile SDL 700 MHz (730.5 – 765.5 MHz),Mobile DL 700 MHz (753 – 788 MHz),0.4,UK,295,9663,75,0.001057093,0.0002248637,0.00687205,0.00681909
Mobile DL 1.8 GHz (1805 – 1880 MHz),DECT (1880 – 1915 MHz),0.2,Austria,180,1,4911,0.3362516,0.3362454,0.01256429,0.001126374
Mobile DL 1.8 GHz (1805 – 1880 MHz),DECT (1880 – 1915 MHz),0.2,Belgium,957,887,15119,0.07268586,0.07215113,0.04340516,0.02855337
Mobile DL 1.8 GHz (1805 – 1880 MHz),DECT (1880 – 1915 MHz),0.2,France,704,1088,9367,0.2906957,0.289636,0.2266922,0.1975599
Mobile DL 1.8 GHz (1805 – 1880 MHz),DECT (1880 – 1915 MHz),0.2,Italy,188,3,16420,0.09782885,0.09782883,0.01051126,0.0002261021
Mobile DL 1.8 GHz (1805 – 1880 MHz),DECT (1880 – 1915 MHz),0.2,Hungary,484,47,17898,0.17955,0.1793827,0.03766235,0.002966587
Mobile DL 1.8 GHz (1805 – 1880 MHz),DECT (1880 – 1915 MHz),0.2,The Netherlands,235,2,7679,0.2825496,0.2825494,0.04844996,0.03765241
Mobile DL 1.8 GHz (1805 – 1880 MHz),DECT (1880 – 1915 MHz),0.2,Poland,597,27,3435,0.2559601,0.2559455,0.0008329377,0.0007335199
Mobile DL 1.8 GHz (1805 – 1880 MHz),DECT (1880 – 1915 MHz),0.2,Spain,338,2,17493,0.1944528,0.1944525,0.01786698,0.000556366
Mobile DL 1.8 GHz (1805 – 1880 MHz),DECT (1880 – 1915 MHz),0.2,Switzerland,658,150,16242,0.04989992,0.04987129,0.01017912,0.001706944
Mobile DL 1.8 GHz (1805 – 1880 MHz),DECT (1880 – 1915 MHz),0.2,UK,768,43,16792,0.1627732,0.16277,0.005742041,0.0006020994
DECT (1880 – 1915 MHz),Mobile UL 2.1 GHz (1919.5 – 1994.5 MHz),0.2,Austria,265,440,30,0.001126374,0.001091433,0.009927601,0.009927293
DECT (1880 – 1915 MHz),Mobile UL 2.1 GHz (1919.5 – 1994.5 MHz),0.2,Belgium,1100,1595,123,0.02855337,0.003421017,0.2933605,0.2933436
DECT (1880 – 1915 MHz),Mobile UL 2.1 GHz (1919.5 – 1994.5 MHz),0.2,France,1185,7006,505,0.1975599,0.03275876,2.133263,2.133228
DECT (1880 – 1915 MHz),Mobile UL 2.1 GHz (1919.5 – 1994.5 MHz),0.2,Italy,402,122,40,0.0002261021,0.0002067389,0.152416,0.1524122
DECT (1880 – 1915 MHz),Mobile UL 2.1 GHz (1919.5 – 1994.5 MHz),0.2,Hungary,586,323,332,0.002966587,0.001401652,0.2388457,0.2388431
DECT (1880 – 1915 MHz),Mobile UL 2.1 GHz (1919.5 – 1994.5 MHz),0.2,The Netherlands,428,1198,66,0.03765241,0.00200267,0.649498,0.6494937
DECT (1880 – 1915 MHz),Mobile UL 2.1 GHz (1919.5 – 1994.5 MHz),0.2,Poland,923,2381,17,0.0007335199,0.0001909195,0.9176168,0.9175702
DECT (1880 – 1915 MHz),Mobile UL 2.1 GHz (1919.5 – 1994.5 MHz),0.2,Spain,693,72,5,0.000556366,0.000472207,0.7451157,0.7451153
DECT (1880 – 1915 MHz),Mobile UL 2.1 GHz (1919.5 – 1994.5 MHz),0.2,Switzerland,1241,3664,208,0.001706944,0.0005992161,2.786929,2.786922
DECT (1880 – 1915 MHz),Mobile UL 2.1 GHz (1919.5 – 1994.5 MHz),0.2,UK,1681,5202,4,0.0006020994,0.0001978231,2.415004,2.415003
ISM/WiFi 2.4 GHz (2388 – 2488 MHz),Mobile UL 2.6 GHz (2497.5 – 2572.5 MHz),0.2,Austria,280,306,1656,0.01479287,0.01452538,0.001733612,0.001487692
ISM/WiFi 2.4 GHz (2388 – 2488 MHz),Mobile UL 2.6 GHz (2497.5 – 2572.5 MHz),0.2,Belgium,2424,3174,1077,0.5777558,0.02847328,1.766178,1.765727
ISM/WiFi 2.4 GHz (2388 – 2488 MHz),Mobile UL 2.6 GHz (2497.5 – 2572.5 MHz),0.2,France,2225,1847,2639,0.2224438,0.04714317,0.6049849,0.6038031
ISM/WiFi 2.4 GHz (2388 – 2488 MHz),Mobile UL 2.6 GHz (2497.5 – 2572.5 MHz),0.2,Italy,620,1385,3122,0.005147006,0.003913389,2.010176,2.009997
ISM/WiFi 2.4 GHz (2388 – 2488 MHz),Mobile UL 2.6 GHz (2497.5 – 2572.5 MHz),0.2,Hungary,614,755,742,0.1817743,0.01030512,0.4553427,0.4553028
ISM/WiFi 2.4 GHz (2388 – 2488 MHz),Mobile UL 2.6 GHz (2497.5 – 2572.5 MHz),0.2,The Netherlands,912,485,414,0.05147889,0.004637049,0.1461968,0.1461075
ISM/WiFi 2.4 GHz (2388 – 2488 MHz),Mobile UL 2.6 GHz (2497.5 – 2572.5 MHz),0.2,Poland,1366,1234,456,0.01062525,0.009554309,1.44122,1.440996
ISM/WiFi 2.4 GHz (2388 – 2488 MHz),Mobile UL 2.6 GHz (2497.5 – 2572.5 MHz),0.2,Spain,965,2193,1601,0.2078892,0.009211323,0.5640271,0.5630409
ISM/WiFi 2.4 GHz (2388 – 2488 MHz),Mobile UL 2.6 GHz (2497.5 – 2572.5 MHz),0.2,Switzerland,1166,1165,5192,0.01663872,0.01297354,0.2100844,0.2095816
ISM/WiFi 2.4 GHz (2388 – 2488 MHz),Mobile UL 2.6 GHz (2497.5 – 2572.5 MHz),0.2,UK,1553,321,3841,0.03358867,0.03331539,0.004494561,0.003783944
