country,study_area,scenario,sample_count,mean_mw_m2,median_mw_m2,q1_mw_m2,q3_mw_m2,p95_mw_m2,reported_median_iqr,availability_note,available
Austria,LC,NU,3858,1.26,0.37,0.13,1.12,5.49,0.37 (0.13-1.12),,true
Austria,LC,DL,,,,,,,NA**,NA**,false
Austria,LC,UL,,,,,,,NA**,NA**,false
Austria,SC,NU,2318,1.39,0.33,0.08,1.12,5.54,0.33 (0.08-1.12),,true
Austria,SC,DL,,,,,,,NA,NA,false
Austria,SC,UL,,,,,,,NA,NA,false
Austria,RA,NU,1284,0.74,0.16,0.02,0.64,3.46,0.16 (0.02-0.64),,true
Austria,RA,DL,,,,,,,NA,NA,false
Austria,RA,UL,,,,,,,NA,NA,false
Belgium,LC,NU,5988,0.71,0.22,0.07,0.72,2.96,0.22 (0.07-0.72),,true
Belgium,LC,DL,3956,3.22,1.10,0.38,2.86,11.52,1.10 (0.38-2.86),,true
Belgium,LC,UL,2989,17.78,12.04,4.15,26.62,56.70,12.04 (4.15-26.62),,true
Belgium,SC,NU,4079,0.78,0.16,0.04,0.63,3.43,0.16 (0.04-0.63),,true
Belgium,SC,DL,2446,2.66,1.20,0.40,3.54,10.53,1.20 (0.40-3.54),,true
Belgium,SC,UL,2553,14.91,10.75,5.02,23.73,46.09,10.75 (5.02-23.73),,true
Belgium,RA,NU,4708,0.30,0.04,0.00,0.16,1.06,0.04 (0.00-0.16),,true
Belgium,RA,DL,2341,5.20,1.58,0.40,4.75,23.01,1.58 (0.40-4.75),,true
Belgium,RA,UL,2122,24.61,15.63,5.24,35.43,94.07,15.63 (5.24-35.43),,true
France,LC,NU,5197,3.17,0.93,0.29,2.88,14.29,0.93 (0.29-2.88),,true
France,LC,DL,4256,7.64,2.07,0.66,5.96,44.29,2.07 (0.66-5.96),,true
France,LC,UL,3140,11.21,4.08,1.23,13.41,46.08,4.08 (1.23-13.41),,true
France,SC,NU,3102,0.78,0.21,0.09,0.56,3.47,0.21 (0.09-0.56),,true
France,SC,DL,2997,6.43,2.31,0.64,7.34,26.39,2.31 (0.64-7.34),,true
France,SC,UL,3021,13.24,6.64,1.25,17.62,44.22,6.64 (1.25-17.62),,true
France,RA,NU,3201,0.27,0.06,0.04,0.17,1.07,0.06 (0.04-0.17),,true
France,RA,DL,3213,6.77,1.85,0.31,5.15,21.32,1.85 (0.31-5.15),,true
France,RA,UL,3069,25.04,10.31,0.51,31.90,97.41,10.31 (0.51-31.90),,true
Hungary,LC,NU,5058,1.09,0.33,0.12,0.90,4.28,0.33 (0.12-0.90),,true
