country,band,scenario,mean_mw_m2,median_mw_m2,iqr_mw_m2,availability_note,available
Austria,Broadcast,NU,0.05,0.01,0.03,,true
Austria,Broadcast,DL,,,,NA*,false
Austria,Broadcast,UL,,,,NA,false
Austria,DECT,NU,0.00,0.00,0.00,,true
Austria,DECT,DL,,,,NA*,false
Austria,DECT,UL,,,,NA,false
Austria,WiFi 5 GHz,NU,0.01,0.00,0.00,,true
Austria,WiFi 5 GHz,DL,,,,NA*,false
Austria,WiFi 5 GHz,UL,,,,NA,false
Austria,ISM/WiFi 2.4 GHz,NU,0.01,0.00,0.00,,true
Austria,ISM/WiFi 2.4 GHz,DL,,,,NA*,false
Austria,ISM/WiFi 2.4 GHz,UL,,,,NA,false
Austria,Mobile SDL 700 MHz,NU,0.00,0.00,0.00,,true
Austria,Mobile SDL 700 MHz,DL,,,,NA*,false
Austria,Mobile SDL 700 MHz,UL,,,,NA,false
Austria,Mobile DL 700 MHz,NU,0.00,0.00,0.00,,true
Austria,Mobile DL 700 MHz,DL,,,,NA*,false
Austria,Mobile DL 700 MHz,UL,,,,NA,false
Austria,Mobile DL 800 MHz,NU,0.08,0.01,0.04,,true
Austria,Mobile DL 800 MHz,DL,,,,NA*,false
Austria,Mobile DL 800 MHz,UL,,,,NA,false
Austria,Mobile DL 900 MHz,NU,0.27,0.03,0.17,,true
Austria,Mobile DL 900 MHz,DL,,,,NA*,false
Austria,Mobile DL 900 MHz,UL,,,,NA,false
Austria,Mobile DL 1.4 GHz,NU,0.00,0.00,0.00,,true
Austria,Mobile DL 1.4 GHz,DL,,,,NA*,false
Austria,Mobile DL 1.4 GHz,UL,,,,NA,false
Austria,Mobile DL 1.8 GHz,NU,0.34,0.05,0.21,,true
Austria,Mobile DL 1.8 GHz,DL,,,,NA*,false
Austria,Mobile DL 1.8 GHz,UL,,,,NA,false
Austria,Mobile DL 2.1 GHz,NU,0.15,0.02,0.09,,true
Austria,Mobile DL 2.1 GHz,DL,,,,NA*,false
Austria,Mobile DL 2.1 GHz,UL,,,,NA,false
Austria,Mobile DL 2.6 GHz,NU,0.10,0.01,0.06,,true
Austria,Mobile DL 2.6 GHz,DL,,,,NA*,false
Austria,Mobile DL 2.6 GHz,UL,,,,NA,false
Austria,Mobile UL 700 MHz,NU,0.00,0.00,0.00,,true
Austria,Mobile UL 700 MHz,DL,,,,NA*,false
Austria,Mobile UL 700 MHz,UL,,,,NA,false
Austria,Mobile UL 800 MHz,NU,0.00,0.00,0.00,,true
Austria,Mobile UL 800 MHz,DL,,,,NA*,false
Austria,Mobile UL 800 MHz,UL,,,,NA,false
Austria,Mobile UL 900 MHz,NU,0.00,0.00,0.00,,true
Austria,Mobile UL 900 MHz,DL,,,,NA*,false
Austria,Mobile UL 900 MHz,UL,,,,NA,false
Austria,Mobile UL 1.8 GHz,NU,0.03,0.00,0.00,,true
Austria,Mobile UL 1.8 GHz,DL,,,,NA*,false
Austria,Mobile UL 1.8 GHz,UL,,,,NA,false
Austria,Mobile UL 2.1 GHz,NU,0.01,0.00,0.00,,true
Austria,Mobile UL 2.1 GHz,DL,,,,NA*,false
Austria,Mobile UL 2.1 GHz,UL,,,,NA,false
Austria,Mobile UL 2.6 GHz,NU,0.00,0.00,0.00,,true
Austria,Mobile UL 2.6 GHz,DL,,,,NA*,false
Austria,Mobile UL 2.6 GHz,UL,,,,NA,false
Austria,Mobile TDD 2.6 GHz,NU,0.00,0.00,0.00,,true
Austria,Mobile TDD 2.6 GHz,DL,,,,NA*,false
Austria,Mobile TDD 2.6 GHz,UL,,,,NA,false
Austria,Mobile TDD 3.5 GHz,NU,0.14,0.01,0.05,,true
Austria,Mobile TDD 3.5 GHz,DL,,,,NA*,false
Austria,Mobile TDD 3.5 GHz,UL,,,,NA,false
Belgium,Broadcast,NU,0.12,0.00,0.03,,true
Belgium,Broadcast,DL,0.12,0.00,0.02,,true
Belgium,Broadcast,UL,0.11,0.01,0.03,,true
Belgium,DECT,NU,0.00,0.00,0.00,,true
Belgium,DECT,DL,0.00,0.00,0.00,,true
Belgium,DECT,UL,0.01,0.00,0.00,,true
Belgium,WiFi 5 GHz,NU,0.00,0.00,0.00,,true
Belgium,WiFi 5 GHz,DL,0.00,0.00,0.00,,true
Belgium,WiFi 5 GHz,UL,0.00,0.00,0.00,,true
Belgium,ISM/WiFi 2.4 GHz,NU,0.01,0.00,0.00,,true
Belgium,ISM/WiFi 2.4 GHz,DL,0.01,0.00,0.01,,true
Belgium,ISM/WiFi 2.4 GHz,UL,0.08,0.00,0.00,,true
Belgium,Mobile SDL 700 MHz,NU,0.00,0.00,0.00,,true
Belgium,Mobile SDL 700 MHz,DL,0.00,0.00,0.00,,true
Belgium,Mobile SDL 700 MHz,UL,0.00,0.00,0.00,,true
Belgium,Mobile DL 700 MHz,NU,0.01,0.00,0.00,,true
Belgium,Mobile DL 700 MHz,DL,0.00,0.00,0.00,,true
Belgium,Mobile DL 700 MHz,UL,0.00,0.00,0.00,,true
Belgium,Mobile DL 800 MHz,NU,0.11,0.01,0.05,,true
Belgium,Mobile DL 800 MHz,DL,0.11,0.01,0.05,,true
Belgium,Mobile DL 800 MHz,UL,0.10,0.01,0.05,,true
Belgium,Mobile DL 900 MHz,NU,0.10,0.01,0.05,,true
Belgium,Mobile DL 900 MHz,DL,0.08,0.01,0.04,,true
Belgium,Mobile DL 900 MHz,UL,0.07,0.01,0.04,,true
Belgium,Mobile DL 1.4 GHz,NU,0.00,0.00,0.00,,true
Belgium,Mobile DL 1.4 GHz,DL,0.00,0.00,0.00,,true
Belgium,Mobile DL 1.4 GHz,UL,0.00,0.00,0.00,,true
Belgium,Mobile DL 1.8 GHz,NU,0.08,0.00,0.03,,true
Belgium,Mobile DL 1.8 GHz,DL,0.07,0.00,0.02,,true
Belgium,Mobile DL 1.8 GHz,UL,0.06,0.00,0.02,,true
Belgium,Mobile DL 2.1 GHz,NU,0.06,0.00,0.02,,true
Belgium,Mobile DL 2.1 GHz,DL,0.06,0.00,0.01,,true
Belgium,Mobile DL 2.1 GHz,UL,0.04,0.00,0.01,,true
Belgium,Mobile DL 2.6 GHz,NU,0.04,0.00,0.01,,true
Belgium,Mobile DL 2.6 GHz,DL,0.03,0.00,0.01,,true
Belgium,Mobile DL 2.6 GHz,UL,0.02,0.00,0.01,,true
Belgium,Mobile UL 700 MHz,NU,0.00,0.00,0.00,,true
Belgium,Mobile UL 700 MHz,DL,0.00,0.00,0.00,,true
Belgium,Mobile UL 700 MHz,UL,0.01,0.00,0.00,,true
Belgium,Mobile UL 800 MHz,NU,0.03,0.00,0.00,,true
Belgium,Mobile UL 800 MHz,DL,1.11,0.00,0.06,,true
Belgium,Mobile UL 800 MHz,UL,3.02,0.00,0.06,,true
Belgium,Mobile UL 900 MHz,NU,0.01,0.00,0.00,,true
Belgium,Mobile UL 900 MHz,DL,0.06,0.00,0.00,,true
Belgium,Mobile UL 900 MHz,UL,0.09,0.00,0.00,,true
Belgium,Mobile UL 1.8 GHz,NU,0.02,0.00,0.00,,true
Belgium,Mobile UL 1.8 GHz,DL,0.80,0.00,0.12,,true
Belgium,Mobile UL 1.8 GHz,UL,6.81,0.00,10.09,,true
Belgium,Mobile UL 2.1 GHz,NU,0.00,0.00,0.00,,true
Belgium,Mobile UL 2.1 GHz,DL,0.28,0.00,0.00,,true
Belgium,Mobile UL 2.1 GHz,UL,0.87,0.00,0.00,,true
Belgium,Mobile UL 2.6 GHz,NU,0.00,0.00,0.00,,true
Belgium,Mobile UL 2.6 GHz,DL,0.41,0.00,0.00,,true
Belgium,Mobile UL 2.6 GHz,UL,6.71,0.00,0.00,,true
Belgium,Mobile TDD 2.6 GHz,NU,0.00,0.00,0.00,,true
Belgium,Mobile TDD 2.6 GHz,DL,0.00,0.00,0.00,,true
Belgium,Mobile TDD 2.6 GHz,UL,0.00,0.00,0.00,,true
Belgium,Mobile TDD 3.5 GHz,NU,0.02,0.00,0.00,,true
Belgium,Mobile TDD 3.5 GHz,DL,0.45,0.00,0.00,,true
Belgium,Mobile TDD 3.5 GHz,UL,0.70,0.00,0.00,,true
France,Broadcast,NU,0.04,0.01,0.02,,true
France,Broadcast,DL,0.05,0.01,0.02,,true
France,Broadcast,UL,0.04,0.01,0.01,,true
France,DECT,NU,0.01,0.00,0.00,,true
France,DECT,DL,0.01,0.00,0.00,,true
France,DECT,UL,0.09,0.00,0.00,,true
France,WiFi 5 GHz,NU,0.02,0.01,0.00,,true
France,WiFi 5 GHz,DL,0.02,0.01,0.01,,true
France,WiFi 5 GHz,UL,0.02,0.01,0.01,,true
France,ISM/WiFi 2.4 GHz,NU,0.01,0.00,0.01,,true
France,ISM/WiFi 2.4 GHz,DL,0.06,0.00,0.01,,true
France,ISM/WiFi 2.4 GHz,UL,0.07,0.00,0.01,,true
France,Mobile SDL 700 MHz,NU,0.00,0.00,0.00,,true
France,Mobile SDL 700 MHz,DL,0.00,0.00,0.00,,true
France,Mobile SDL 700 MHz,UL,0.00,0.00,0.00,,true
France,Mobile DL 700 MHz,NU,0.16,0.01,0.06,,true
France,Mobile DL 700 MHz,DL,0.13,0.01,0.04,,true
France,Mobile DL 700 MHz,UL,0.16,0.01,0.03,,true
France,Mobile DL 800 MHz,NU,0.24,0.02,0.12,,true
France,Mobile DL 800 MHz,DL,0.16,0.02,0.09,,true
France,Mobile DL 800 MHz,UL,0.15,0.01,0.07,,true
France,Mobile DL 900 MHz,NU,0.16,0.02,0.10,,true
France,Mobile DL 900 MHz,DL,0.12,0.01,0.06,,true
France,Mobile DL 900 MHz,UL,0.11,0.01,0.05,,true
France,Mobile DL 1.4 GHz,NU,0.00,0.00,0.00,,true
France,Mobile DL 1.4 GHz,DL,0.00,0.00,0.00,,true
France,Mobile DL 1.4 GHz,UL,0.00,0.00,0.00,,true
France,Mobile DL 1.8 GHz,NU,0.39,0.03,0.15,,true
France,Mobile DL 1.8 GHz,DL,0.26,0.02,0.11,,true
France,Mobile DL 1.8 GHz,UL,0.19,0.02,0.09,,true
France,Mobile DL 2.1 GHz,NU,0.22,0.02,0.11,,true
France,Mobile DL 2.1 GHz,DL,0.17,0.02,0.09,,true
France,Mobile DL 2.1 GHz,UL,0.12,0.01,0.07,,true
France,Mobile DL 2.6 GHz,NU,0.18,0.02,0.09,,true
France,Mobile DL 2.6 GHz,DL,0.12,0.01,0.06,,true
France,Mobile DL 2.6 GHz,UL,0.10,0.01,0.05,,true
France,Mobile UL 700 MHz,NU,0.00,0.00,0.00,,true
France,Mobile UL 700 MHz,DL,0.00,0.00,0.00,,true
France,Mobile UL 700 MHz,UL,0.00,0.00,0.00,,true
France,Mobile UL 800 MHz,NU,0.00,0.00,0.00,,true
France,Mobile UL 800 MHz,DL,0.03,0.00,0.00,,true
France,Mobile UL 800 MHz,UL,0.09,0.00,0.00,,true
France,Mobile UL 900 MHz,NU,0.02,0.00,0.00,,true
France,Mobile UL 900 MHz,DL,0.01,0.00,0.00,,true
France,Mobile UL 900 MHz,UL,0.04,0.00,0.00,,true
France,Mobile UL 1.8 GHz,NU,0.01,0.00,0.00,,true
France,Mobile UL 1.8 GHz,DL,0.36,0.00,0.00,,true
France,Mobile UL 1.8 GHz,UL,6.32,0.00,0.12,,true
France,Mobile UL 2.1 GHz,NU,0.01,0.00,0.00,,true
France,Mobile UL 2.1 GHz,DL,0.91,0.00,0.32,,true
France,Mobile UL 2.1 GHz,UL,6.18,0.00,3.67,,true
France,Mobile UL 2.6 GHz,NU,0.01,0.00,0.00,,true
France,Mobile UL 2.6 GHz,DL,0.90,0.00,0.00,,true
France,Mobile UL 2.6 GHz,UL,1.00,0.00,0.00,,true
France,Mobile TDD 2.6 GHz,NU,0.00,0.00,0.00,,true
France,Mobile TDD 2.6 GHz,DL,0.00,0.00,0.00,,true
France,Mobile TDD 2.6 GHz,UL,0.00,0.00,0.00,,true
France,Mobile TDD 3.5 GHz,NU,0.24,0.01,0.05,,true
France,Mobile TDD 3.5 GHz,DL,3.71,0.07,1.60,,true
France,Mobile TDD 3.5 GHz,UL,1.78,0.01,0.11,,true
Hungary,Broadcast,NU,0.07,0.01,0.02,,true
Hungary,Broadcast,DL,0.07,0.01,0.01,,true
Hungary,Broadcast,UL,0.05,0.01,0.02,,true
Hungary,DECT,NU,0.00,0.00,0.00,,true
Hungary,DECT,DL,0.00,0.00,0.00,,true
Hungary,DECT,UL,0.00,0.00,0.00,,true
Hungary,WiFi 5 GHz,NU,0.01,0.01,0.00,,true
Hungary,WiFi 5 GHz,DL,0.01,0.01,0.00,,true
Hungary,WiFi 5 GHz,UL,0.01,0.01,0.00,,true
Hungary,ISM/WiFi 2.4 GHz,NU,0.01,0.00,0.00,,true
Hungary,ISM/WiFi 2.4 GHz,DL,0.02,0.00,0.00,,true
Hungary,ISM/WiFi 2.4 GHz,UL,0.01,0.00,0.00,,true
Hungary,Mobile SDL 700 MHz,NU,0.00,0.00,0.00,,true
Hungary,Mobile SDL 700 MHz,DL,0.00,0.00,0.00,,true
Hungary,Mobile SDL 700 MHz,UL,0.00,0.00,0.00,,true
