record_type,site,look,component,metric,quantile,standpoint,stratum,estimate,sealed_16_estimate,change_from_sealed_16_db,bootstrap_95_low,bootstrap_95_high
route_quantile,korenmarkt,16,direct,total_transfer_m_inv2,q10,,,0.0008347350724473272,,0.0,0.0008347350724473272,0.0008347350724473272
route_quantile,korenmarkt,16,direct,total_transfer_m_inv2,q50,,,0.0010059615350724652,,0.0,0.0010059615350724652,0.0010059615350724652
route_quantile,korenmarkt,16,direct,total_transfer_m_inv2,q90,,,0.0010778252949060422,,0.0,0.0010778252949060422,0.0010778252949060422
route_quantile,korenmarkt,16,direct,wbsar_m2_per_kg,q10,,,0.04502505117330418,,0.0,0.04502505117330418,0.04502505117330418
route_quantile,korenmarkt,16,direct,wbsar_m2_per_kg,q50,,,0.047476176705143674,,0.0,0.047476176705143674,0.047476176705143674
route_quantile,korenmarkt,16,direct,wbsar_m2_per_kg,q90,,,0.05027584881915907,,0.0,0.05027584881915907,0.05027584881915907
route_quantile,korenmarkt,16,all_specular,total_transfer_m_inv2,q10,,,0.0002262763733996229,,0.0,0.0002262763733996229,0.0002262763733996229
route_quantile,korenmarkt,16,all_specular,total_transfer_m_inv2,q50,,,0.00027996817796781346,,0.0,0.00027996817796781346,0.00027996817796781346
route_quantile,korenmarkt,16,all_specular,total_transfer_m_inv2,q90,,,0.0003568551933791438,,0.0,0.0003568551933791438,0.0003568551933791438
route_quantile,korenmarkt,16,all_specular,wbsar_m2_per_kg,q10,,,0.011984912612678866,,0.0,0.011984912612678866,0.011984912612678866
route_quantile,korenmarkt,16,all_specular,wbsar_m2_per_kg,q50,,,0.013538655357191745,,0.0,0.013538655357191745,0.013538655357191745
route_quantile,korenmarkt,16,all_specular,wbsar_m2_per_kg,q90,,,0.016950047194396658,,0.0,0.016950047194396658,0.016950047194396658
route_quantile,korenmarkt,16,first_diffuse,total_transfer_m_inv2,q10,,,5.358502036763568e-06,,0.0,5.301015524257449e-06,5.379580790653384e-06
route_quantile,korenmarkt,16,first_diffuse,total_transfer_m_inv2,q50,,,1.2204885852868995e-05,,0.0,1.2134000993086297e-05,1.227187781899013e-05
route_quantile,korenmarkt,16,first_diffuse,total_transfer_m_inv2,q90,,,2.254339321253064e-05,,0.0,2.2421400071084416e-05,2.2643464016333966e-05
route_quantile,korenmarkt,16,first_diffuse,wbsar_m2_per_kg,q10,,,0.00028734851493896754,,0.0,0.000284167016341473,0.00029050711662906834
route_quantile,korenmarkt,16,first_diffuse,wbsar_m2_per_kg,q50,,,0.0006712640155703991,,0.0,0.0006671046445730315,0.0006751576915501318
route_quantile,korenmarkt,16,first_diffuse,wbsar_m2_per_kg,q90,,,0.0012604378527006238,,0.0,0.0012531119671098634,0.0012673035641975491
route_quantile,korenmarkt,16,total,total_transfer_m_inv2,q10,,,0.0010717576523790436,,0.0,0.0010717038902498504,0.0010718189581931487
route_quantile,korenmarkt,16,total,total_transfer_m_inv2,q50,,,0.0012744654349179712,,0.0,0.0012743945500581885,0.0012745324268840924
route_quantile,korenmarkt,16,total,total_transfer_m_inv2,q90,,,0.0014653643574498072,,0.0,0.0014652423643083607,0.0014654969085284714
route_quantile,korenmarkt,16,total,wbsar_m2_per_kg,q10,,,0.0578327438321708,,0.0,0.057829569746458656,0.05783640594486285
route_quantile,korenmarkt,16,total,wbsar_m2_per_kg,q50,,,0.06204518535491678,,0.0,0.06204102598391942,0.062049079030896515
route_quantile,korenmarkt,16,total,wbsar_m2_per_kg,q90,,,0.0686717408320388,,0.0,0.06866441494644802,0.0686797470956051
pointwise,korenmarkt,16,total,total_transfer_m_inv2,,0,nonshadowed,0.0010280142026844396,0.0010280142026844396,0.0,,
pointwise,korenmarkt,16,total,total_transfer_m_inv2,,1,nonshadowed,0.001076618035678444,0.001076618035678444,0.0,,
pointwise,korenmarkt,16,total,total_transfer_m_inv2,,2,nonshadowed,0.001120574983191499,0.001120574983191499,0.0,,
pointwise,korenmarkt,16,total,total_transfer_m_inv2,,3,nonshadowed,0.0012115604901478181,0.0012115604901478181,0.0,,
pointwise,korenmarkt,16,total,total_transfer_m_inv2,,4,nonshadowed,0.0012467120179151436,0.0012467120179151436,0.0,,
pointwise,korenmarkt,16,total,total_transfer_m_inv2,,5,nonshadowed,0.0013022188519207986,0.0013022188519207986,0.0,,
pointwise,korenmarkt,16,total,total_transfer_m_inv2,,6,nonshadowed,0.001326081534535518,0.001326081534535518,0.0,,
pointwise,korenmarkt,16,total,total_transfer_m_inv2,,7,nonshadowed,0.001385293347263188,0.001385293347263188,0.0,,
pointwise,korenmarkt,16,total,total_transfer_m_inv2,,8,nonshadowed,0.0014646644344962585,0.0014646644344962585,0.0,,
pointwise,korenmarkt,16,total,total_transfer_m_inv2,,9,nonshadowed,0.0014716636640317447,0.0014716636640317447,0.0,,
pointwise,korenmarkt,16,total,wbsar_m2_per_kg,,0,nonshadowed,0.05526184239623064,0.05526184239623064,0.0,,
pointwise,korenmarkt,16,total,wbsar_m2_per_kg,,1,nonshadowed,0.05811839954727527,0.05811839954727527,0.0,,
pointwise,korenmarkt,16,total,wbsar_m2_per_kg,,2,nonshadowed,0.059178017566153394,0.059178017566153394,0.0,,
pointwise,korenmarkt,16,total,wbsar_m2_per_kg,,3,nonshadowed,0.06256895408717962,0.06256895408717962,0.0,,
pointwise,korenmarkt,16,total,wbsar_m2_per_kg,,4,nonshadowed,0.062013393250124144,0.062013393250124144,0.0,,
pointwise,korenmarkt,16,total,wbsar_m2_per_kg,,5,nonshadowed,0.062076977459709415,0.062076977459709415,0.0,,
pointwise,korenmarkt,16,total,wbsar_m2_per_kg,,6,nonshadowed,0.06159763773150887,0.06159763773150887,0.0,,
pointwise,korenmarkt,16,total,wbsar_m2_per_kg,,7,nonshadowed,0.06505075127901826,0.06505075127901826,0.0,,
pointwise,korenmarkt,16,total,wbsar_m2_per_kg,,8,nonshadowed,0.06863950586957838,0.06863950586957838,0.0,,
pointwise,korenmarkt,16,total,wbsar_m2_per_kg,,9,nonshadowed,0.0689618554941825,0.0689618554941825,0.0,,
route_quantile,korenmarkt,24,direct,total_transfer_m_inv2,q10,,,0.000834735072447327,,-9.643274665532871e-16,0.000834735072447327,0.000834735072447327
route_quantile,korenmarkt,24,direct,total_transfer_m_inv2,q50,,,0.0010059615350724652,,0.0,0.0010059615350724652,0.0010059615350724652
route_quantile,korenmarkt,24,direct,total_transfer_m_inv2,q90,,,0.0010778252949060426,,1.928654933106574e-15,0.0010778252949060426,0.0010778252949060426
route_quantile,korenmarkt,24,direct,wbsar_m2_per_kg,q10,,,0.04502505117330418,,0.0,0.04502505117330418,0.04502505117330418
route_quantile,korenmarkt,24,direct,wbsar_m2_per_kg,q50,,,0.04747617670514369,,9.64327466553287e-16,0.04747617670514369,0.04747617670514369
route_quantile,korenmarkt,24,direct,wbsar_m2_per_kg,q90,,,0.05027584881915907,,0.0,0.05027584881915907,0.05027584881915907
route_quantile,korenmarkt,24,all_specular,total_transfer_m_inv2,q10,,,0.0002262763733996229,,0.0,0.0002262763733996229,0.0002262763733996229
route_quantile,korenmarkt,24,all_specular,total_transfer_m_inv2,q50,,,0.00027996817796781346,,0.0,0.00027996817796781346,0.00027996817796781346
route_quantile,korenmarkt,24,all_specular,total_transfer_m_inv2,q90,,,0.0003568551933791438,,0.0,0.0003568551933791438,0.0003568551933791438
route_quantile,korenmarkt,24,all_specular,wbsar_m2_per_kg,q10,,,0.011984912612678863,,-1.446491199829931e-15,0.011984912612678863,0.011984912612678863
route_quantile,korenmarkt,24,all_specular,wbsar_m2_per_kg,q50,,,0.013538655357191742,,-9.643274665532871e-16,0.013538655357191742,0.013538655357191742
route_quantile,korenmarkt,24,all_specular,wbsar_m2_per_kg,q90,,,0.01695004719439666,,9.64327466553287e-16,0.01695004719439666,0.01695004719439666
route_quantile,korenmarkt,24,first_diffuse,total_transfer_m_inv2,q10,,,5.376743203226894e-06,,0.014758946601890546,5.330831405974658e-06,5.400935746799137e-06
